REASON_VISIT_ID	REASON_VISIT_NAME	DISPLAY_TEXT
42	ESTABLISH CARE	Establish Care
83	ANNUAL EXAM	Annual Exam
95	RESULTS	Results
111	TRAVEL CONSULT	Travel Consult
520	SKIN CHECK	Skin Check
534	CARE COORDINATION	Care Coordination
632	TRANSFER OF CARE	Transfer Of Care
744	PRIOR AUTHORIZATION	Prior Authorization
1142	COVID-19 CONCERNS	COVID-19 Concerns
16034	RIB PAIN	Rib Pain
110033	FOLLOW-UP	Follow-up
140008	HAND PAIN	Hand Pain
160383	MEDICATION REFILL	Medication Refill
160423	NECK PAIN	Neck Pain
160492	RIB INJURY	Rib Injury
160564	TAILBONE PAIN	Tailbone Pain
160664	CONCUSSION	Concussion
160690	HEARTBURN	Heartburn
210404000004	REFERRAL	Referral
